ReviewDate,ReviewWordContent
1个月前,我是为了支持橘朵品牌全球代言人刘浩存才买的，现在橘朵的产品到手啦，我认为橘朵的产品很好，首先包装完好且精美，产品也很有设计感，我很喜欢，使用起来效果我也挺满意的。总的来说这次购物体验十分愉快，支持橘朵品牌全球代言人刘浩存😍😍😍，支持橘朵😘😘😘
1个月前,整体评价：为了浩存闭眼入了眉粉  气垫还有妆前霜，以前从来不用气垫粉底之类的，这次说试试，出乎意料的好用，很水润很持久，眉粉也小巧便携易上妆，这个妆前霜是点睛之笔，涂上再用气垫一点也不卡粉，支持国货之光！！ 
1个月前,刘浩存粉丝，之前没有用过妆前霜，橘朵的还不错，包装与图片一样，用起来方便，上妆效果挺好的，脸上瞬间白了几度，很美白，乳液质地可以。
2个月前,朋友推荐的干皮救星，之前没好好护肤导致现在化完妆都会起皮浮粉，用了这个真的有改善哎～
1个月前,包装与外观：包包装我也特别喜欢我的肤质是属于那种干皮上妆效果也是很好的。 持久情况：喜喜欢贵了就是好，我特别特别超级喜欢这个贴贴霜买回来特别好用，朋友推荐的。 
1个月前,此用户没有填写评价。
1个月前,还可以 不是很香  很水润
2个月前,这个橘子海妆前霜已经回购第二次了，干皮真的离不开妆前霜，上妆之前用真的很服帖，冰淇淋的质地很好推开，而且特别好好吸收 
2个月前,大夸这个冰美式，感觉毛孔小了，后续上妆也很服帖！
2个月前,拯救了我这个沙漠大干皮！用了这个妆前乳，再也不会卡粉了！橘朵的东西闭眼买没踩雷过
24天前,很不错，滋润，适合干皮是用啊……
2个月前,整体评价：很润的质地 特别好推开 我的肤质：我是T区出油 涂上之后非常清爽 控油能力很绝～ 
3个月前,这个橘子海妆前霜，是清爽的冰激凌质地，吸收以后不见油感，后续上妆不会卡粉，妆容更服帖 用这个妆前霜直接就省了面霜了，很好推开，更好吸收 
23天前,我的肤质：油混干 上妆效果：服帖，遮毛孔 
3个月前,冰淇淋质地，抹起来清爽不油腻。平常当妆前乳用，用完后，上妆服服帖帖的，爱死了。  
3个月前,终于找到适合大干皮的妆前乳了 冰淇淋质地，抹起来清爽不油腻 后续上妆服帖不卡粉 
1个月前,一如既往！好用！一整天都没有脱妆！！！！！ 真的油皮亲妈
3个月前,真的是一款很轻盈的妆前霜，像那种冰淇淋的感觉，不会粘腻，涂完这个再上妆，妆面会服帖很多
3个月前,这个橘子的妆前霜真的很好用，像面霜一样很好推开，而且一点也不油腻，化妆前涂上它底妆很服帖，一点也不卡粉
3个月前,用了之后 底妆没在卡过粉  就很神奇  太爱了 
3个月前,冰淇淋质地上脸好吸收 干敏皮的我用着很不错  会回购的单品 
1个月前,已经购买橘朵很多产品，从来没有失望过。价钱实惠，品质在线。接下来要买唇彩了 😍
9天前,好用，对于干皮来说好用
14天前,真的很滋润，用了完全不卡粉了，贴贴霜
2个月前,很适合油皮使用，推荐的。
3个月前,这个是我回购的了！很好用，我是专门用来妆前打底了！服帖又持久！ 
3个月前,上妆前用它，底妆真的服帖多啦！之前还会卡粉斑驳，现在再也没有这种烦恼啦！ 真的很适合我们大干皮
1个月前,不拔干有光泽，冰激凌质地好推开，味道闻起来也不错。
3个月前,想要妆前不卡粉还得是靠这个橘子海面霜！尊嘟不要太好用！而且性价比也很不错！太喜欢啦！ 
1个月前,很滋润，价格也实惠，可以购买
3个月前,我是干皮，这个用了之后再上粉底真的不卡了 
3个月前,朵子这款妆前真是不错！后续上妆很服帖，根本不存在卡粉啥的，大夏天出去玩，脸上依旧牢固 
3个月前,已经第二瓶了，真的润，搭配什么底妆都好用，干皮姐妹放心入
3个月前,冰淇淋质地上脸轻薄 好推开，干皮敏感肌也能用，味道还是清新柑橘！ 
1个月前,很好用，特别好推开
2个月前,第三次回购的，而且平价里面是最有性价比的，的确不卡粉用这个。平价比较推荐这个
2个月前,抹上之后遮毛孔，感觉皮肤变细致了，好用
5天前,比红地球好用
2个月前,很好用，可以修饰毛孔，刚上脸的时候自然不假白，可以当素颜霜用，气色变好了但是完全看不出来涂了东西，但是比较容易暗沉，适合下楼散步遛弯、短时间出门的时候用
3个月前,无暇皮，素颜涂，加粉饼就可以直接出门了。便宜。
2个月前,這個真的十分潤，冬天才可以用，塗太多會很油
3个月前,特别好，本来在朋友那里用了一次，惊艳了！平时只用大牌的我也被种草，真的很奶油肌，yyds，快递出现问题也是马上爽快的补发了！真的特别给力，希望你们越做越好，更多的人能够知道 一点也不输国际大牌 
27天前,用空两瓶了真的好用
2个月前,今天出门立刻就试了一下，质地非常滑嫩，上脸非常润很舒适，完全没有假面感！一天下来我这个终极过敏体质也没有任何不适！姐妹们可以放心冲！干皮快乐霜了属于是！
2个月前,干皮用着还行，只是味道感觉太香了，不是很喜欢
26天前,还没用 支持代言人刘浩存 
2个月前,整体评价：不错 
3个月前,还可以吧。是我自己不会用。但是效果还不错。我多练练
3个月前,挤出来像粉底液一样，但上脸不会假白，有提亮效果
1个月前,还没用 后续会评价的
1个月前,整体评价：为了浩存闭眼入了眉粉  气垫还有妆前霜，以前从来不用气垫粉底之类的，这次说试试，出乎意料的好用，很水润很持久，眉粉也小巧便携易上妆，这个妆前霜是点睛之笔，涂上再用气垫一点也不卡粉，支持国货之光！！ 
1个月前,刘浩存粉丝，之前没有用过妆前霜，橘朵的还不错，包装与图片一样，用起来方便，上妆效果挺好的，脸上瞬间白了几度，很美白，乳液质地可以。
2个月前,朋友推荐的干皮救星，之前没好好护肤导致现在化完妆都会起皮浮粉，用了这个真的有改善哎～
1个月前,包装与外观：包包装我也特别喜欢我的肤质是属于那种干皮上妆效果也是很好的。 持久情况：喜喜欢贵了就是好，我特别特别超级喜欢这个贴贴霜买回来特别好用，朋友推荐的。 
1个月前,此用户没有填写评价。
1个月前,还可以 不是很香  很水润
2个月前,这个橘子海妆前霜已经回购第二次了，干皮真的离不开妆前霜，上妆之前用真的很服帖，冰淇淋的质地很好推开，而且特别好好吸收 
2个月前,大夸这个冰美式，感觉毛孔小了，后续上妆也很服帖！
2个月前,拯救了我这个沙漠大干皮！用了这个妆前乳，再也不会卡粉了！橘朵的东西闭眼买没踩雷过
24天前,很不错，滋润，适合干皮是用啊……
2个月前,整体评价：很润的质地 特别好推开 我的肤质：我是T区出油 涂上之后非常清爽 控油能力很绝～ 
3个月前,这个橘子海妆前霜，是清爽的冰激凌质地，吸收以后不见油感，后续上妆不会卡粉，妆容更服帖 用这个妆前霜直接就省了面霜了，很好推开，更好吸收 
23天前,我的肤质：油混干 上妆效果：服帖，遮毛孔 
3个月前,冰淇淋质地，抹起来清爽不油腻。平常当妆前乳用，用完后，上妆服服帖帖的，爱死了。  
3个月前,终于找到适合大干皮的妆前乳了 冰淇淋质地，抹起来清爽不油腻 后续上妆服帖不卡粉 
1个月前,一如既往！好用！一整天都没有脱妆！！！！！ 真的油皮亲妈
3个月前,真的是一款很轻盈的妆前霜，像那种冰淇淋的感觉，不会粘腻，涂完这个再上妆，妆面会服帖很多
3个月前,这个橘子的妆前霜真的很好用，像面霜一样很好推开，而且一点也不油腻，化妆前涂上它底妆很服帖，一点也不卡粉
3个月前,用了之后 底妆没在卡过粉  就很神奇  太爱了 
3个月前,冰淇淋质地上脸好吸收 干敏皮的我用着很不错  会回购的单品 
1个月前,已经购买橘朵很多产品，从来没有失望过。价钱实惠，品质在线。接下来要买唇彩了 😍
9天前,好用，对于干皮来说好用
14天前,真的很滋润，用了完全不卡粉了，贴贴霜
2个月前,很适合油皮使用，推荐的。
3个月前,这个是我回购的了！很好用，我是专门用来妆前打底了！服帖又持久！ 
3个月前,上妆前用它，底妆真的服帖多啦！之前还会卡粉斑驳，现在再也没有这种烦恼啦！ 真的很适合我们大干皮
1个月前,不拔干有光泽，冰激凌质地好推开，味道闻起来也不错。
3个月前,想要妆前不卡粉还得是靠这个橘子海面霜！尊嘟不要太好用！而且性价比也很不错！太喜欢啦！ 
1个月前,很滋润，价格也实惠，可以购买
3个月前,我是干皮，这个用了之后再上粉底真的不卡了 
3个月前,朵子这款妆前真是不错！后续上妆很服帖，根本不存在卡粉啥的，大夏天出去玩，脸上依旧牢固 
3个月前,已经第二瓶了，真的润，搭配什么底妆都好用，干皮姐妹放心入
3个月前,冰淇淋质地上脸轻薄 好推开，干皮敏感肌也能用，味道还是清新柑橘！ 
1个月前,很好用，特别好推开
2个月前,第三次回购的，而且平价里面是最有性价比的，的确不卡粉用这个。平价比较推荐这个
2个月前,抹上之后遮毛孔，感觉皮肤变细致了，好用
5天前,比红地球好用
2个月前,很好用，可以修饰毛孔，刚上脸的时候自然不假白，可以当素颜霜用，气色变好了但是完全看不出来涂了东西，但是比较容易暗沉，适合下楼散步遛弯、短时间出门的时候用
3个月前,无暇皮，素颜涂，加粉饼就可以直接出门了。便宜。
2个月前,這個真的十分潤，冬天才可以用，塗太多會很油
3个月前,特别好，本来在朋友那里用了一次，惊艳了！平时只用大牌的我也被种草，真的很奶油肌，yyds，快递出现问题也是马上爽快的补发了！真的特别给力，希望你们越做越好，更多的人能够知道 一点也不输国际大牌 
27天前,用空两瓶了真的好用
2个月前,今天出门立刻就试了一下，质地非常滑嫩，上脸非常润很舒适，完全没有假面感！一天下来我这个终极过敏体质也没有任何不适！姐妹们可以放心冲！干皮快乐霜了属于是！
2个月前,干皮用着还行，只是味道感觉太香了，不是很喜欢
26天前,还没用 支持代言人刘浩存 
2个月前,整体评价：不错 
3个月前,还可以吧。是我自己不会用。但是效果还不错。我多练练
3个月前,挤出来像粉底液一样，但上脸不会假白，有提亮效果
1个月前,还没用 后续会评价的
4个月前,朵子的冰美式妆前乳好消肿好磨皮！奶昔质地水润润的，真空包装设计很卫生！带妆8小时一点都不暗沉！！ 
1个月前,刘浩存粉丝，之前没有用过妆前霜，橘朵的还不错，包装与图片一样，用起来方便，上妆效果挺好的，脸上瞬间白了几度，很美白，乳液质地可以。
2个月前,朋友推荐的干皮救星，之前没好好护肤导致现在化完妆都会起皮浮粉，用了这个真的有改善哎～
1个月前,包装与外观：包包装我也特别喜欢我的肤质是属于那种干皮上妆效果也是很好的。 持久情况：喜喜欢贵了就是好，我特别特别超级喜欢这个贴贴霜买回来特别好用，朋友推荐的。 
1个月前,此用户没有填写评价。
1个月前,还可以 不是很香  很水润
2个月前,这个橘子海妆前霜已经回购第二次了，干皮真的离不开妆前霜，上妆之前用真的很服帖，冰淇淋的质地很好推开，而且特别好好吸收 
2个月前,大夸这个冰美式，感觉毛孔小了，后续上妆也很服帖！
2个月前,拯救了我这个沙漠大干皮！用了这个妆前乳，再也不会卡粉了！橘朵的东西闭眼买没踩雷过
24天前,很不错，滋润，适合干皮是用啊……
2个月前,整体评价：很润的质地 特别好推开 我的肤质：我是T区出油 涂上之后非常清爽 控油能力很绝～ 
3个月前,这个橘子海妆前霜，是清爽的冰激凌质地，吸收以后不见油感，后续上妆不会卡粉，妆容更服帖 用这个妆前霜直接就省了面霜了，很好推开，更好吸收 
23天前,我的肤质：油混干 上妆效果：服帖，遮毛孔 
3个月前,冰淇淋质地，抹起来清爽不油腻。平常当妆前乳用，用完后，上妆服服帖帖的，爱死了。  
3个月前,终于找到适合大干皮的妆前乳了 冰淇淋质地，抹起来清爽不油腻 后续上妆服帖不卡粉 
1个月前,一如既往！好用！一整天都没有脱妆！！！！！ 真的油皮亲妈
3个月前,真的是一款很轻盈的妆前霜，像那种冰淇淋的感觉，不会粘腻，涂完这个再上妆，妆面会服帖很多
3个月前,这个橘子的妆前霜真的很好用，像面霜一样很好推开，而且一点也不油腻，化妆前涂上它底妆很服帖，一点也不卡粉
3个月前,用了之后 底妆没在卡过粉  就很神奇  太爱了 
3个月前,冰淇淋质地上脸好吸收 干敏皮的我用着很不错  会回购的单品 
1个月前,已经购买橘朵很多产品，从来没有失望过。价钱实惠，品质在线。接下来要买唇彩了 😍
9天前,好用，对于干皮来说好用
14天前,真的很滋润，用了完全不卡粉了，贴贴霜
2个月前,很适合油皮使用，推荐的。
3个月前,这个是我回购的了！很好用，我是专门用来妆前打底了！服帖又持久！ 
3个月前,上妆前用它，底妆真的服帖多啦！之前还会卡粉斑驳，现在再也没有这种烦恼啦！ 真的很适合我们大干皮
1个月前,不拔干有光泽，冰激凌质地好推开，味道闻起来也不错。
3个月前,想要妆前不卡粉还得是靠这个橘子海面霜！尊嘟不要太好用！而且性价比也很不错！太喜欢啦！ 
1个月前,很滋润，价格也实惠，可以购买
3个月前,我是干皮，这个用了之后再上粉底真的不卡了 
3个月前,朵子这款妆前真是不错！后续上妆很服帖，根本不存在卡粉啥的，大夏天出去玩，脸上依旧牢固 
3个月前,已经第二瓶了，真的润，搭配什么底妆都好用，干皮姐妹放心入
3个月前,冰淇淋质地上脸轻薄 好推开，干皮敏感肌也能用，味道还是清新柑橘！ 
1个月前,很好用，特别好推开
