ReviewDate,ReviewWordContent
7天前,比想象中还细，还没试用，希望效果不错
23天前,不易晕染，极细容易操作，容易刷出太阳花，很好用！
23天前,特别好用！比我买的kissms 的都好用！会回购
12天前,睫毛膏收到啦，第一次用这种的，颜色不错，还没用，希望不会有苍蝇腿
4天前,"第一次用这种的,本人睫毛算是短的了,由于是钢管头,很容易就刷翘了,刷出来很自然,用后在评价,没有苍蝇腿,包装与外观,防水防汗很推荐"
27天前,"本人睫毛算是短的了,更好刷了,弧度刚刚好贴合眼型,刷出来的真的很纤长,包装与外观,很容易就刷翘了,刷某书看到的,建议用卸妆油清洗,真的是令人惊喜的一个产品"
10天前,ha还用不太习惯！没有苍蝇腿！一整天都不会晕染，还不很适应，真的是近期经常使用的一支睫毛膏了，刷某书看到的，刷出来很自然 
10天前,包装与外观：3g的容量，很小一支。 持久情况：8小时没问题，不晕染。 上妆效果：浓密，能看出上妆痕迹，由于是钢管头，眼端的睫毛刷不到。 
1个月前,新手必备睫毛膏！！弧度刚刚好贴合眼型 不会刷到眼皮上 妈生感十足
18天前,我觉得很好用，很好刷，就是颜色对我来说有点浅
1个月前,真的是近期经常使用的一支睫毛膏了，刷头很细，也很好刷～
1个月前,这款睫毛膏真的太棒啦，很贴合哦，轻松就可以刷出太阳花，太喜欢啦 
23天前,整体评价：第一次用这种金属头的睫毛膏，还不很适应 包装与外观：包装特别好，看着很有档次 持久情况：刚使用 上妆效果：还用不太习惯，刷完后多少有点点苍蝇腿 
23天前,睫毛膏的效果挺惊艳的 不会成坨，也不再有蚊子腿了，防水防汗很推荐
1个月前,很容易就刷翘了，也不会刷到眼皮上，遇到水也不会脱妆晕染，刷起来也自然 
1个月前,到手就忍不住试了试，刷头可以照顾到睫毛的边边角角，新手小白+手抖患者也能刷出纤长的睫毛！爱了爱了
16天前,睫毛膏还没用，用后在评价
1个月前,持久情况：非常持久，也很牢固，建议用卸妆油清洗 
22天前,睫毛膏刷头钢管很细，刷下睫毛也很方便#
23天前,小东西可可爱爱的，腮红粉质蛮细腻的，唇泥颜色也很棒，睫毛膏还没用
23天前,第2次购买了，第1次买了一款极细短睫毛用的。这次换了一款，试试看是不是效果更好一点。
4天前,橘朵你让刘浩存代言就是最牛*最正确的选择了！支持老婆代言，以后买彩妆我就认准橘朵，橘朵牛*，爱死老婆了 整体评价：特别特别好用，刘浩存严选 
8天前,好用，平时不太化妆，买的比较细的，很自然，也很好上手，涂上也不会变苍蝇腿。
1个月前,刷出来很自然，没有苍蝇腿 一整天都不会晕染 
1个月前,包装与外观：好看 持久情况：还没试 我的肤质：混油 整体评价：管很细，适合新手。👌🏻 
1个月前,这个睫毛膏太适合手残党了，真的能刷出太阳花睫毛！
1个月前,不粘不坨的睫毛膏，真的超好用，随便一刷就是太阳花，一整天都不会塌，刷出来的真的很纤长 
23天前,睫毛膏刷头非常细很好用~被朋友安利的，非常卷翘就是有点难卸
23天前,第二次回购，很好用，适合短睫毛，一刷就有效果，推荐！
24天前,收到睫毛膏了，暂时还没有使用，不知道效果怎么样，等之后用了再来追评
28天前,特别好用的睫毛刷，轻松就能刷出太阳花睫毛，会回购！！ 
1个月前,钢管刷头的设计，而且带有弧度 更好贴合眼睛弧度了! 可以均匀地刷到每根睫毛、速干定型很自然 
1个月前,未来是冲着刘浩存代言买的，结果意外发现真的蛮好用的，特别是唇油和钢管睫毛膏！我太爱这种无色无味的唇油了，无论是单纯防止嘴皮开裂还是叠涂都特别好。真的是令人惊喜的一个产品！
1个月前,无限回购的睫毛膏，真的很好用！
1个月前,回购好几次了，好用，防水效果nice 
1个月前,JD，TB各一套，支持橘朵品牌全球代言人刘浩存！代言人同款色号涂上都是绝美的哈哈哈，橘朵也是用过的值得信赖的品牌。而且没想到发货地离家就五公里，真是有缘哈哈哈。
1个月前,睫毛膏很好用，细细的，第一次用这种的睫毛膏！橘朵不愧是你 和刘浩存合作特别特别正确👍求新卡面呜呜呜橘朵你的小卡做的特别好
10天前,姐妹们看吧，下午5:00画的妆，现在是晚上的10:00，感觉还是可以，不过还是有点苍蝇腿，然后不怎么好卸妆
13天前,用完一支回购了，挺持久的，建议多刷一层会更加的明显 浓密..
12天前,从化妆小白开始就用橘朵品牌的眼线笔和睫毛膏，现在用惯了遇到节假日活动都会屯一两根，这次双十一也不例外。
1个月前,只刷了下睫毛 很明显睫毛变粗变长了 很持久很漂亮～～～～～
1个月前,支持代言人刘浩存！和大美女用上同款了～产品收到了很喜欢！小卡也很有质感特别好💙
1个月前,get存子同款睫毛膏！真的不会粘眼皮 不苍蝇腿 纤长效果蛮好的～
1个月前,刷某书看到的，本人睫毛算是短的了，这个会比日常那种刷头的更好用，不会出现苍蝇腿，偏头的设计会更贴合眼部，容易上手 整体评价：可以刷出睫毛，不会苍蝇腿，基本一天8小时的话，中间补一次基本足够了 
16天前,此用户没有填写评价。
1个月前,好用，小卡也很漂亮，支持刘浩存。
19天前,感谢店家售后，还送了一个眼影刷
21天前,还是有优点的，就是让你的苍蝇腿睫毛干的特别快。上眼即打坨，然后立即干。这是我努力努力用了两周的感受
22天前,挺好用的，一刷就上了，用手抓捏也不会掉
2个月前,这款钢管睫毛膏很细，更好刷了，而且还不容易结块。
23天前,不易晕染，极细容易操作，容易刷出太阳花，很好用！
23天前,特别好用！比我买的kissms 的都好用！会回购
12天前,睫毛膏收到啦，第一次用这种的，颜色不错，还没用，希望不会有苍蝇腿
4天前,"第一次用这种的,本人睫毛算是短的了,由于是钢管头,很容易就刷翘了,刷出来很自然,用后在评价,没有苍蝇腿,包装与外观,防水防汗很推荐"
27天前,"本人睫毛算是短的了,更好刷了,弧度刚刚好贴合眼型,刷出来的真的很纤长,包装与外观,很容易就刷翘了,刷某书看到的,建议用卸妆油清洗,真的是令人惊喜的一个产品"
10天前,ha还用不太习惯！没有苍蝇腿！一整天都不会晕染，还不很适应，真的是近期经常使用的一支睫毛膏了，刷某书看到的，刷出来很自然 
10天前,包装与外观：3g的容量，很小一支。 持久情况：8小时没问题，不晕染。 上妆效果：浓密，能看出上妆痕迹，由于是钢管头，眼端的睫毛刷不到。 
1个月前,新手必备睫毛膏！！弧度刚刚好贴合眼型 不会刷到眼皮上 妈生感十足
18天前,我觉得很好用，很好刷，就是颜色对我来说有点浅
1个月前,真的是近期经常使用的一支睫毛膏了，刷头很细，也很好刷～
1个月前,这款睫毛膏真的太棒啦，很贴合哦，轻松就可以刷出太阳花，太喜欢啦 
23天前,整体评价：第一次用这种金属头的睫毛膏，还不很适应 包装与外观：包装特别好，看着很有档次 持久情况：刚使用 上妆效果：还用不太习惯，刷完后多少有点点苍蝇腿 
23天前,睫毛膏的效果挺惊艳的 不会成坨，也不再有蚊子腿了，防水防汗很推荐
1个月前,很容易就刷翘了，也不会刷到眼皮上，遇到水也不会脱妆晕染，刷起来也自然 
1个月前,到手就忍不住试了试，刷头可以照顾到睫毛的边边角角，新手小白+手抖患者也能刷出纤长的睫毛！爱了爱了
16天前,睫毛膏还没用，用后在评价
1个月前,持久情况：非常持久，也很牢固，建议用卸妆油清洗 
22天前,睫毛膏刷头钢管很细，刷下睫毛也很方便#
23天前,小东西可可爱爱的，腮红粉质蛮细腻的，唇泥颜色也很棒，睫毛膏还没用
23天前,第2次购买了，第1次买了一款极细短睫毛用的。这次换了一款，试试看是不是效果更好一点。
4天前,橘朵你让刘浩存代言就是最牛*最正确的选择了！支持老婆代言，以后买彩妆我就认准橘朵，橘朵牛*，爱死老婆了 整体评价：特别特别好用，刘浩存严选 
8天前,好用，平时不太化妆，买的比较细的，很自然，也很好上手，涂上也不会变苍蝇腿。
1个月前,刷出来很自然，没有苍蝇腿 一整天都不会晕染 
1个月前,包装与外观：好看 持久情况：还没试 我的肤质：混油 整体评价：管很细，适合新手。👌🏻 
1个月前,这个睫毛膏太适合手残党了，真的能刷出太阳花睫毛！
1个月前,不粘不坨的睫毛膏，真的超好用，随便一刷就是太阳花，一整天都不会塌，刷出来的真的很纤长 
23天前,睫毛膏刷头非常细很好用~被朋友安利的，非常卷翘就是有点难卸
23天前,第二次回购，很好用，适合短睫毛，一刷就有效果，推荐！
24天前,收到睫毛膏了，暂时还没有使用，不知道效果怎么样，等之后用了再来追评
28天前,特别好用的睫毛刷，轻松就能刷出太阳花睫毛，会回购！！ 
1个月前,钢管刷头的设计，而且带有弧度 更好贴合眼睛弧度了! 可以均匀地刷到每根睫毛、速干定型很自然 
1个月前,未来是冲着刘浩存代言买的，结果意外发现真的蛮好用的，特别是唇油和钢管睫毛膏！我太爱这种无色无味的唇油了，无论是单纯防止嘴皮开裂还是叠涂都特别好。真的是令人惊喜的一个产品！
1个月前,无限回购的睫毛膏，真的很好用！
1个月前,回购好几次了，好用，防水效果nice 
1个月前,JD，TB各一套，支持橘朵品牌全球代言人刘浩存！代言人同款色号涂上都是绝美的哈哈哈，橘朵也是用过的值得信赖的品牌。而且没想到发货地离家就五公里，真是有缘哈哈哈。
1个月前,睫毛膏很好用，细细的，第一次用这种的睫毛膏！橘朵不愧是你 和刘浩存合作特别特别正确👍求新卡面呜呜呜橘朵你的小卡做的特别好
10天前,姐妹们看吧，下午5:00画的妆，现在是晚上的10:00，感觉还是可以，不过还是有点苍蝇腿，然后不怎么好卸妆
13天前,用完一支回购了，挺持久的，建议多刷一层会更加的明显 浓密..
12天前,从化妆小白开始就用橘朵品牌的眼线笔和睫毛膏，现在用惯了遇到节假日活动都会屯一两根，这次双十一也不例外。
1个月前,只刷了下睫毛 很明显睫毛变粗变长了 很持久很漂亮～～～～～
1个月前,支持代言人刘浩存！和大美女用上同款了～产品收到了很喜欢！小卡也很有质感特别好💙
1个月前,get存子同款睫毛膏！真的不会粘眼皮 不苍蝇腿 纤长效果蛮好的～
1个月前,刷某书看到的，本人睫毛算是短的了，这个会比日常那种刷头的更好用，不会出现苍蝇腿，偏头的设计会更贴合眼部，容易上手 整体评价：可以刷出睫毛，不会苍蝇腿，基本一天8小时的话，中间补一次基本足够了 
16天前,此用户没有填写评价。
1个月前,好用，小卡也很漂亮，支持刘浩存。
19天前,感谢店家售后，还送了一个眼影刷
21天前,还是有优点的，就是让你的苍蝇腿睫毛干的特别快。上眼即打坨，然后立即干。这是我努力努力用了两周的感受
22天前,挺好用的，一刷就上了，用手抓捏也不会掉
2个月前,这款钢管睫毛膏很细，更好刷了，而且还不容易结块。
2个月前,包装与外观：好看！腮红的颜色也好米！ 
23天前,特别好用！比我买的kissms 的都好用！会回购
12天前,睫毛膏收到啦，第一次用这种的，颜色不错，还没用，希望不会有苍蝇腿
4天前,"第一次用这种的,本人睫毛算是短的了,由于是钢管头,很容易就刷翘了,刷出来很自然,用后在评价,没有苍蝇腿,包装与外观,防水防汗很推荐"
27天前,"本人睫毛算是短的了,更好刷了,弧度刚刚好贴合眼型,刷出来的真的很纤长,包装与外观,很容易就刷翘了,刷某书看到的,建议用卸妆油清洗,真的是令人惊喜的一个产品"
10天前,ha还用不太习惯！没有苍蝇腿！一整天都不会晕染，还不很适应，真的是近期经常使用的一支睫毛膏了，刷某书看到的，刷出来很自然 
